"DVDRef","Sex","Tstart","Interval"
191,0,77.7,5.40000000000001
191,0,82.7,5
191,1,84.1,11.6
191,0,86.8,4.09999999999999
191,1,87.9,3.80000000000001
194,0,3.6,0
194,1,4.1,0
194,0,6.1,2.5
194,1,7,2.9
194,1,17.6,10.6
194,1,19.7,2.1
194,1,21.6,1.9
194,0,25.1,19
194,0,27.9,2.8
194,1,32.9,11.3
194,0,39,11.1
194,1,45.8,12.9
194,0,49.7,10.7
194,1,55,9.2
194,0,58.6,8.9
194,1,62.8,7.8
194,0,64.4,5.8
194,1,68.7,5.90000000000001
194,0,73.9,9.5
194,1,79.3,10.6
194,0,87.1,13.2
194,1,91.1,11.8
194,1,91.3,0.200000000000003
197,1,1.8,0
197,1,3.7,1.9
197,0,11.2,0
197,0,12.8,1.6
197,1,14.4,10.7
197,0,22.3,9.5
197,1,24.4,10
197,0,26.9,4.6
197,1,28.1,3.7
197,0,31.1,4.2
197,1,34.2,6.1
197,0,35,3.9
197,1,36.6,2.4
197,0,43.5,8.5
197,1,48.5,11.9
197,1,51.4,2.9
197,0,53.6,10.1
197,1,53.7,2.3
197,1,55.1,1.4
197,0,58.6,5
197,1,63.8,8.7
197,0,66.7,8.1
197,1,71.2,7.40000000000001
197,0,72.8,6.09999999999999
197,0,74,1.2
197,1,74.3,3.09999999999999
197,0,81,7
197,1,86.2,11.9
197,0,91.9,10.9
200,0,3.1,0
200,1,11.5,0
200,0,16.8,13.7
200,1,23.3,11.8
200,0,26.7,9.9
200,0,34.9,8.2
