sort	DVDRef	Filename	MVisit1	FVisit1	MVisit2	FVisit2	ShareTime1	MTime1	FTime1	MTime2	FTime2	Protocol	ShareTime12	NbAlternation	EffectiveTime	MFTime1	MFTime02	MFTime2	FVisit1RateH	MVisit1RateH	DiffVisit1Rate	FTime1RateH	MTime1RateH	DiffTime1Rate	AlternationValue
94	171	2004\40171.xlsx	15	12	0	0	1.4	31.5	46.4	1.5	0.1	Shinichi	2.4	24	92.99999695	76.5	16.5	0.6	8	10	2	29.94	20.32	9.62	92.3
95	172	2004\40172.xlsx	10	8	1	0	0	2.5	12.1	1.6	0.1	Shinichi	0	14	85.2	14.6	70.6	1.7	6	7	1	8.52	1.76	6.76	82.4
96	173	2004\40173.xlsx	13	16	1	0	0	2.6	25.8	3.6	0.6	Shinichi	0.2	13	91.59999695	28.4	63.2	4	10	9	1	16.9	1.7	15.2	46.4
97	174	2004\40174.xlsx	8	7	1	0	0.6	20.9	33.3	0.5	0.1	Shinichi	0.9	12	92.39999695	53.6	38.8	0.3	5	5	0	21.62	13.57	8.05	85.7
98	175	2004\40175.xlsx	17	15	0	0	0.6	4.5	26.3	0.9	0.6	Shinichi	1	19	89.8	30.2	59.6	1.1	10	11	1	17.57	3.01	14.56	61.3
99	176	2004\40176.xlsx	15	11	1	0	0.1	22.7	36.2	10.4	0.7	Shinichi	1.9	15	92.79999695	58.8	34	9.3	7	10	3	23.41	14.68	8.73	60
100	177	2004\40177.xlsx	12	17	0	0	0.3	8	39.3	1.1	1.4	Shinichi	1.4	19	93.5	47	46.5	1.4	11	8	3	25.22	5.13	20.09	67.9
101	178	2004\40178.xlsx	5	10	0	0	0	42	28.8	0.4	5.5	Shinichi	0.3	7	93.80000305	70.8	23	5.6	6	3	3	18.42	26.87	8.45	50
102	179	2004\40179.xlsx	2	10	1	0	0	0.8	48.6	0.7	0.4	Shinichi	0	4	90.39999847	49.4	41	1.1	7	1	6	32.26	0.53	31.73	36.4
103	180	2004\40180.xlsx	12	12	0	0	0	28.6	42.9	1.7	2.2	Shinichi	1.4	19	89.49999695	71.5	18	2.5	8	8	0	28.76	19.17	9.59	82.6
104	182	2004\40182.xlsx	8	8	0	0	0.1	37.4	26.9	1.9	0	Shinichi	1	5	86.2	64.2	22	1	6	6	0	18.72	26.03	7.31	33.3
