Filename,TstartFeedVisit,TendFeedVisit,Sex,Interval,DVDRef
2004\40069.xlsx,23.9,24,1,8.5,69
2004\40069.xlsx,25.1,30.8,0,4.4,69
2004\40069.xlsx,32.2,32.5,1,8.3,69
2004\40069.xlsx,33.5,38,0,8.4,69
2004\40069.xlsx,38.8,38.9,1,6.6,69
2004\40069.xlsx,40.2,51.7,0,6.7,69
2004\40069.xlsx,53,53.1,1,14.2,69
2004\40069.xlsx,53.2,54.2,0,13,69
2004\40069.xlsx,54.4,54.6,1,1.4,69
2004\40069.xlsx,55.3,61.5,0,2.1,69
2004\40069.xlsx,61.9,62,1,7.5,69
2004\40069.xlsx,66.3,71.1,0,11,69
2004\40069.xlsx,72,72,1,10.1,69
2004\40069.xlsx,73.5,74,0,7.2,69
2004\40069.xlsx,77.3,77.5,1,5.3,69
2004\40069.xlsx,77.6,80.9,0,4.1,69
2004\40069.xlsx,80.4,80.5,1,3.1,69
2004\40069.xlsx,80.9,81,1,0.5,69
2004\40069.xlsx,85,93.7,0,7.4,69
2004\40070.xlsx,3.1,5.9,0,0,70
2004\40070.xlsx,6.2,6.3,1,0,70
2004\40070.xlsx,15.9,24.9,0,12.8,70
2004\40070.xlsx,27,27.2,0,11.1,70
2004\40070.xlsx,27.2,27.4,1,21,70
2004\40070.xlsx,28.2,30.7,0,1.2,70
2004\40070.xlsx,30.7,30.9,1,3.5,70
2004\40070.xlsx,31.4,42.9,0,3.2,70
2004\40070.xlsx,42.9,43,1,12.2,70
2004\40070.xlsx,46.6,47.9,1,3.7,70
2004\40070.xlsx,47.9,48.9,0,16.5,70
2004\40070.xlsx,54.5,62.7,0,6.6,70
2004\40070.xlsx,62.9,63,1,16.3,70
2004\40070.xlsx,67,68,1,4.1,70
2004\40070.xlsx,68,68.6,0,13.5,70
2004\40070.xlsx,68.7,71,1,1.7,70
2004\40070.xlsx,71,74.7,0,3,70
