"Filename","Tstart","Tend","State","Sex","Protocol","DVDRef"
"2004\40025.xlsx",85.1,92.9,"IN","1","Shinichi",25
"2004\40025.xlsx",93,93.3,"A","0","Shinichi",25
"2004\40025.xlsx",93.3,93.3,"IN","0","Shinichi",25
"2004\40026.xlsx",54.1,61.6,"IN","1","Shinichi",26
"2004\40026.xlsx",4.2,6.5,"IN","0","Shinichi",26
"2004\40026.xlsx",6.4,6.7,"A","1","Shinichi",26
"2004\40026.xlsx",6.7,6.8,"IN","1","Shinichi",26
"2004\40026.xlsx",9,9.1,"A","1","Shinichi",26
"2004\40026.xlsx",9.1,10.2,"IN","1","Shinichi",26
"2004\40026.xlsx",10,10.1,"A","0","Shinichi",26
"2004\40026.xlsx",10.1,12.2,"IN","0","Shinichi",26
"2004\40026.xlsx",10.8,12.3,"A","1","Shinichi",26
"2004\40026.xlsx",13.8,14.1,"A","1","Shinichi",26
