"ChickID","RearingBrood","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","GenPairID","ResMassTarsus_perChick"
1572,544,546,1,19,18.2000007629395,12,1,832,1099,3,29,3.66,25.34,24.3337187223567,2,-2.22,4.22,860,114,"114860",2004,61,1,"1099832",-4.08576217181519
1580,549,548,1,18,16.7999992370605,12,1,4497,4265,4,23.5,1.89,21.61,25.277005839288,7,1.93,5.07,551,251,"251551",2004,65,2,"42654497",-1.81868209294654
1586,550,549,1,23.2000007629395,18.7999992370605,12,1,551,251,1,3,0,3,8.86699474064137,0,-0.03,0.03,980,971,"971980",2004,66,1,"251551",-1.28593349863221
1587,548,549,1,22.2000007629395,18.7999992370605,12,1,551,251,1,9.5,0.73,8.77,13.6702906055403,1.5,0.56,0.94,4497,4265,"42654497",2004,65,7,"251551",-2.28593349863221
1589,549,550,1,22.2000007629395,18.3999996185303,12,1,980,4421,4,23.5,1.89,21.61,25.277005839288,7,1.93,5.07,551,251,"251551",2004,65,2,"4421980",-1.35248395511505
1590,549,550,1,21.7999992370605,18.5,12,1,980,4421,4,23.5,1.89,21.61,25.277005839288,7,1.93,5.07,551,251,"251551",2004,65,2,"4421980",-1.98584897963295
1591,549,550,1,19.2000007629395,17.5,12,1,980,4421,4,23.5,1.89,21.61,25.277005839288,7,1.93,5.07,551,251,"251551",2004,65,2,"4421980",-2.25222136944137
1593,553,551,1,23.8999996185303,18.7999992370605,12,1,309,4435,3,19.5,3.56,15.94,19.1483022995015,5,2.335,2.665,929,46,"46929",2004,68,2,"4435309",-0.585934643041411
1598,553,552,1,24,19.3999996185303,12,1,540,383,3,19.5,3.56,15.94,19.1483022995015,5,2.335,2.665,929,46,"46929",2004,68,2,"383540",-1.88611080236713
1599,553,552,1,25.5,19.2000007629395,12,1,540,383,3,19.5,3.56,15.94,19.1483022995015,5,2.335,2.665,929,46,"46929",2004,68,2,"383540",0.0806117438722249
1601,552,553,1,21.2999992370605,17.2000007629395,12,1,929,46,2,8,0.95,7.05,18.3007319431523,1,-0.29,1.29,540,383,"383540",2004,68,2,"46929",0.547863149557891
1602,552,553,1,21,16.8999996185303,12,1,929,46,2,8,0.95,7.05,18.3007319431523,1,-0.29,1.29,540,383,"383540",2004,68,2,"46929",0.947954408414328
1605,557,554,1,20,17.7999992370605,13,1,342,22,3,13,0.629999999999999,12.37,19.0512002153094,2,-0.13,2.13,4382,1095,"10954382",2004,70,1,"22342",-2.15230817725913
1606,557,554,1,21,18.1000003814697,13,1,342,421,3,13,0.629999999999999,12.37,19.0512002153094,2,-0.13,2.13,4382,1095,"10954382",2004,70,1,"421342",-1.85239867317606
1607,557,554,1,19.2000007629395,18,13,1,342,421,3,13,0.629999999999999,12.37,19.0512002153094,2,-0.13,2.13,4382,1095,"10954382",2004,70,1,"421342",-3.41903441159766
1616,554,557,1,25.3999996185303,19.3999996185303,12,1,4382,1095,3,28.5,4.98,23.52,24.2636052322053,5,0.260000000000001,4.74,342,421,"421342",2004,69,1,"10954382",-0.486111183836831
1617,554,557,1,25,19.2000007629395,12,1,4382,1095,3,28.5,4.98,23.52,24.2636052322053,5,0.260000000000001,4.74,342,421,"421342",2004,69,1,"10954382",-0.419388256127775
1622,554,558,1,14.3999996185303,16,12,1,605,4229,3,28.5,4.98,23.52,24.2636052322053,5,0.260000000000001,4.74,342,421,"421342",2004,69,1,"4229605",-3.55178338738169
1626,560,559,1,24.2000007629395,18,12,1,556,23,3,8,-0.41,8.41,14.6718228429968,1.5,0.67,0.83,32,4229,"422932",2004,71,5,"23556",1.58096558840234
1627,560,559,1,23.3999996185303,18,12,1,556,23,3,8,-0.41,8.41,14.6718228429968,1.5,0.67,0.83,32,4229,"422932",2004,71,5,"23556",0.780964443993139
1637,560,561,1,20,16.5,12,1,604,4304,3,8,-0.41,8.41,14.6718228429968,1.5,0.67,0.83,32,4229,"422932",2004,71,5,"4304604",0.881403951931715
1642,565,562,1,22.2000007629395,18.2999992370605,12,1,4501,4417,3,10,-2.4,12.4,17.2811053832057,2,0.33,1.67,4424,590,"5904424",2004,73,4,"44174501",-1.11912045647592
1643,565,562,1,16,16.5,12,1,4501,4417,3,10,-2.4,12.4,17.2811053832057,2,0.33,1.67,4424,590,"5904424",2004,73,4,"44174501",-3.11859604806829
1644,565,562,1,18.8999996185303,17.2000007629395,12,1,4501,4417,3,10,-2.4,12.4,17.2811053832057,2,0.33,1.67,4424,590,"5904424",2004,73,4,"44174501",-1.85213646897231
1646,562,563,1,14.3000001907349,16.1000003814697,12,1,784,499,3,13,0.9,12.1,16.2270436619584,1.5,0.0249999999999999,1.475,4501,4417,"44174501",2004,72,4,"499784",-3.885146313816
1648,562,564,1,21.3999996185303,17.5,12,1,592,4326,3,13,0.9,12.1,16.2270436619584,1.5,0.0249999999999999,1.475,4501,4417,"44174501",2004,72,4,"4326592",-0.0522225138505695
1649,562,564,1,23.7999992370605,18.5,12,1,592,418,3,13,0.9,12.1,16.2270436619584,1.5,0.0249999999999999,1.475,4501,4417,"44174501",2004,72,4,"418592",0.01415102036705
1666,570,568,1,21.3999996185303,17.5,12,1,416,4304,2,17.5,3.8,13.7,16.9172721692721,1,-0.585,1.585,371,4230,"4230371",2004,77,5,"4304416",-0.0522225138505695
1667,570,568,1,23.7999992370605,18.5,12,1,416,4304,2,17.5,3.8,13.7,16.9172721692721,1,-0.585,1.585,371,4230,"4230371",2004,77,5,"4304416",0.01415102036705
1688,575,574,1,15.1999998092651,15.5,13,1,428,4421,3,14,0.51,13.49,19.8245616295649,2,-0.44,2.44,857,4247,"4247857",2004,80,2,"4421428",-1.5849701544906
1689,575,574,1,24.2000007629395,17.7000007629395,13,1,428,4421,3,14,0.51,13.49,19.8245616295649,2,-0.44,2.44,857,4247,"4247857",2004,80,2,"4421428",2.2810516332806
1690,575,574,1,19.2000007629395,18.2000007629395,13,1,428,4421,3,14,0.51,13.49,19.8245616295649,2,-0.44,2.44,857,4247,"4247857",2004,80,2,"4421428",-3.88576140887569
1691,575,574,1,17.7999992370605,17.2000007629395,13,1,428,4421,3,14,0.51,13.49,19.8245616295649,2,-0.44,2.44,857,4247,"4247857",2004,80,2,"4421428",-2.95213685044211
