BirdID	CaptureDate	Mass
427	17-Nov-05	25.5
427	07-Mar-04	26.9
427	28-Jun-06	29.7
427	08-Jun-04	26.2
427	13-May-06	32
427	17-Jun-02	7.7
427	27-Jun-02	24.8
427	17-Jun-03	25.75
428	24-Nov-04	24.4
428	16-Oct-03	28.5
428	11-Mar-04	27.7
428	07-Jul-04	28.9
428	17-Jun-02	5.4
428	27-Jun-02	22.1
428	22-Jun-03	26
430	18-Jun-02	3.4
431	18-Jun-02	7.4
431	09-Jun-04	28.4
431	16-Nov-05	28.6
431	23-Nov-04	27.4
431	28-Jun-02	27.7
431	13-Aug-03	32.75
431	15-Jul-05	28.8
432	18-Jun-02	5.5
432	28-Jun-02	27.2
433	18-Jun-02	4.4
433	28-Jun-02	21.3
434	29-Jun-02	26.2
434	19-Jun-02	7.1
435	29-Jun-02	22.5
435	19-Jun-02	5.6
436	29-Jun-02	26.2
436	19-Jun-02	6.9
437	19-Jun-02	6.9
437	29-Jun-02	25.7
438	25-May-04	27.7
438	09-Mar-04	26.9
438	16-Oct-03	30
438	20-Jun-02	8.1
438	25-Nov-04	26.1
438	30-Jun-03	26.75
438	30-Jun-02	23
439	20-Jun-02	4.3
440	30-Jun-02	21.7
440	20-Jun-02	6.5
441	30-Jun-02	24.1
441	20-Jun-02	7.4
442	21-Jun-02	5.9
442	17-Jun-03	25
442	25-Jun-03	26.75
442	03-Jun-04	25.5
442	25-Nov-04	25.4
442	02-Jun-04	27.6
442	22-May-05	28.4
442	06-Mar-04	25.9
442	10-Mar-04	24.4
442	16-Nov-05	25.2
442	17-Oct-03	24.5
442	01-Jul-02	23.6
443	21-Jun-02	6.1
443	01-Jul-02	24
444	21-Jun-02	5.2
444	24-Jun-03	27
444	01-Jul-02	25.5
445	21-Jun-02	3.1
447	01-Jul-02	25.4
447	21-Jun-02	5.6
448	18-Oct-03	27.75
448	21-Jun-02	6.9
448	01-Jul-02	27.4
449	01-Jul-02	25.9
449	21-Jun-02	5.9
450	21-Jun-02	2.5
451	22-Jun-02	7.4
452	22-Jun-02	7.7
453	22-Jun-02	7.4
454	22-Jun-02	7.3
455	22-Jun-02	3.9
456	23-Jun-02	8.9
456	27-May-04	27.5
456	07-Mar-04	26.5
456	11-Mar-04	27.4
456	23-Nov-04	28.8
456	02-Jun-04	28.8
457	26-May-06	30.5
457	23-Jun-02	9.7
457	17-Oct-03	28
457	17-Nov-05	30.2
457	23-Nov-04	28.7
457	03-Jul-04	30
457	22-May-05	30.8
457	06-Jun-03	29.75
458	23-Jun-02	8.6
458	28-Oct-02	31.1
459	23-Jun-02	6.8
460	18-Jul-05	30.1
460	10-Jul-05	27.1
460	07-Mar-04	25.8
460	19-Nov-05	28.2
460	24-Nov-04	25.5
460	23-Jun-02	7
460	27-May-04	25.6
461	23-Jun-02	6.9
462	23-Jun-02	2.5
463	23-Jun-02	5.6
465	24-Jun-02	5.2
466	05-Mar-04	26
466	24-Jun-02	5.6
466	18-Jun-05	27.7
466	11-Mar-04	24.8
466	09-Jun-04	27
466	11-Aug-04	29
466	17-Nov-05	25.6
466	22-Nov-04	29.2
467	24-Jun-02	5.8
468	24-Jun-02	3.8
469	25-Jun-02	6.4
469	23-Jun-03	28.25
469	22-Oct-02	29.9
469	05-Jul-02	24.5
470	05-Jul-02	22.3
470	25-Jun-02	5.3
471	10-Mar-04	27.6
471	10-Mar-04	27.7
471	29-Nov-04	27.5
471	25-Jun-02	6.2
471	29-May-04	27.1
471	18-Nov-05	25.5
471	05-Jul-02	22.7
471	13-Aug-03	21.25
471	17-Nov-05	27
471	15-Jun-03	25.75
473	06-Jul-02	24.7
473	26-Jun-02	6.9
474	26-Jun-02	6.1
474	06-Jul-02	24
475	06-Jul-02	21.2
475	26-Jun-02	4.2
476	26-Jun-02	3.2
477	14-Jun-03	6.5
481	19-Jun-03	12
481	25-Jun-03	19.75
481	15-Jun-03	4.25
482	19-Jun-03	7.25
482	15-Jun-03	4
483	15-Jun-03	4
484	15-Jun-03	3.5
485	15-Jun-03	1.75
489	15-Jun-03	5.5
491	16-Jun-03	3.25
493	20-Jun-03	8.25
493	16-Jun-03	5.75
493	26-Jun-03	10.25
494	16-Jun-03	4
494	27-Nov-04	31.2
494	16-Nov-05	30.5
494	08-Jul-04	28.2
494	18-May-06	29.2
494	13-Aug-06	29.5
494	26-Jun-03	25.25
494	17-Aug-06	29.5
494	20-Jun-03	10.25
495	17-Oct-03	28.5
495	20-Jun-03	14.5
495	16-Jun-03	5.75
495	26-Jun-03	26.5
496	16-Jun-03	3.5
498	16-Jun-03	4.75
498	20-Jun-03	13
498	26-Jun-03	15.25
499	16-Jun-03	6
499	05-Aug-05	26.9
499	29-Nov-04	32
499	26-Jun-03	25.25
499	20-Jun-03	16.5
500	16-Jun-03	6.25
500	20-Jun-03	15.25
500	05-Jun-04	28
500	26-May-06	29.5
500	26-Jun-03	23.75
501	16-Jun-03	3
502	21-Jun-03	14.25
502	17-Jun-03	3.75
503	21-Jun-03	9.25
503	17-Jun-03	3.75
503	27-Jun-03	23.25
504	17-Jun-03	3.25
504	27-Jun-03	20
504	08-Jun-04	24.6
504	17-Nov-05	27.4
504	30-May-05	26
504	25-Nov-04	27
504	21-Jun-03	11.5
505	21-Jun-03	9
505	17-Jun-03	2.75
505	10-Mar-04	24.5
505	27-Jun-03	20
506	17-Jun-03	3.25
507	17-Jun-03	4
507	21-Jun-03	13
508	17-Jun-03	3.25
